statedistrict,member-info/namelist,member-info/bioguideID,member-info/lastname,member-info/firstname,member-info/middlename,member-info/sort-name,member-info/suffix,member-info/courtesy,member-info/prior-congress,member-info/official-name,member-info/formal-name,member-info/party,member-info/caucus,member-info/state/state-fullname,member-info/state/_postal-code,member-info/district,member-info/townname,member-info/office-building,member-info/office-room,member-info/office-zip,member-info/office-zip-suffix,member-info/phone,member-info/elected-date/_date,member-info/elected-date/__text,member-info/sworn-date/_date,committee-assignments/committee/0/_rank
CA14,"Speier, Jackie",S001175,Speier,Jackie,,"SPEIER,JACKIE",,Ms.,114,Jackie Speier,Ms. Speier,D,D,California,CA,14th,Hillsborough,RHOB,2465,20515,514,(202) 225-3531,20161108,"November  8, 2016",,
CA15,"Swalwell, Eric",S001193,Swalwell,Eric,,"SWALWELL,ERIC",,Mr.,114,Eric Swalwell,Mr. Swalwell of California,D,D,California,CA,15th,Pleasanton,CHOB,129,20515,515,(202) 225-5065,20161108,"November  8, 2016",,
CA16,"Costa, Jim",C001059,Costa,Jim,,"COSTA,JIM",,Mr.,114,Jim Costa,Mr. Costa,D,D,California,CA,16th,Fresno,RHOB,2081,20515,516,(202) 225-3341,20161108,"November  8, 2016",,
CA17,"Khanna, Ro",K000389,Khanna,Ro,,"KHANNA,RO",,Mr.,0,Ro Khanna,Mr. Khanna,D,D,California,CA,17th,Fremont,CHOB,513,20515,517,(202) 225-2631,20161108,"November  8, 2016",,
CA18,"Eshoo, Anna",E000215,Eshoo,Anna,G.,"ESHOO,ANNA",,Ms.,114,Anna G. Eshoo,Ms. Eshoo,D,D,California,CA,18th,Atherton,CHOB,241,20515,518,(202) 225-8104,20161108,"November  8, 2016",,
CA19,"Lofgren, Zoe",L000397,Lofgren,Zoe,,"LOFGREN,ZOE",,Ms.,114,Zoe Lofgren,Ms. Lofgren,D,D,California,CA,19th,San JosÃ©,LHOB,1401,20515,519,(202) 225-3072,20161108,"November  8, 2016",,
CA20,"Panetta, Jimmy",P000613,Panetta,Jimmy,,"PANETTA,JIMMY",,Mr.,0,Jimmy Panetta,Mr. Panetta,D,D,California,CA,20th,Carmel Valley,CHOB,228,20515,520,(202) 225-2861,20161108,"November  8, 2016",,
CA21,"Valadao, David",V000129,Valadao,David,G.,"VALADAO,DAVID",,Mr.,114,David G. Valadao,Mr. Valadao,R,R,California,CA,21st,Hanford,LHOB,1728,20515,521,(202) 225-4695,20161108,"November  8, 2016",,
CA22,"Nunes, Devin",N000181,Nunes,Devin,,"NUNES,DEVIN",,Mr.,114,Devin Nunes,Mr. Nunes,R,R,California,CA,22nd,Tulare,LHOB,1013,20515,522,(202) 225-2523,20161108,"November  8, 2016",,
CA23,"McCarthy, Kevin",M001165,McCarthy,Kevin,,"MCCARTHY,KEVIN",,Mr.,114,Kevin McCarthy,Mr. McCarthy,R,R,California,CA,23rd,Bakersfield,RHOB,2421,20515,523,(202) 225-2915,20161108,"November  8, 2016",,
CA24,"Carbajal, Salud",C001112,Carbajal,Salud,O.,"CARBAJAL,SALUD",,Mr.,0,Salud O. Carbajal,Mr. Carbajal,D,D,California,CA,24th,Santa Barbara,CHOB,212,20515,524,(202) 225-3601,20161108,"November  8, 2016",,
CA25,"Knight, Stephen",K000387,Knight,Stephen,,"KNIGHT,STEPHEN",,Mr.,114,Stephen Knight,Mr. Knight,R,R,California,CA,25th,Palmdale,LHOB,1023,20515,525,(202) 225-1956,20161108,"November  8, 2016",,
CA26,"Brownley, Julia",B001285,Brownley,Julia,,"BROWNLEY,JULIA",,Ms.,114,Julia Brownley,Ms. Brownley of California,D,D,California,CA,26th,Westlake Village,LHOB,1019,20515,526,(202) 225-5811,20161108,"November  8, 2016",,
CA27,"Chu, Judy",C001080,Chu,Judy,,"CHU,JUDY",,Ms.,114,Judy Chu,Ms. Judy Chu of California,D,D,California,CA,27th,Monterey Park,RHOB,2423,20515,527,(202) 225-5464,20161108,"November  8, 2016",,
CA28,"Schiff, Adam",S001150,Schiff,Adam,B.,"SCHIFF,ADAM",,Mr.,114,Adam B. Schiff,Mr. Schiff,D,D,California,CA,28th,Burbank,RHOB,2372,20515,528,(202) 225-4176,20161108,"November  8, 2016",,
CA29,"CÃ¡rdenas, Tony",C001097,CÃ¡rdenas,Tony,,"CARDENAS,TONY",,Mr.,114,Tony CÃ¡rdenas,Mr. CÃ¡rdenas,D,D,California,CA,29th,Pacoima,LHOB,1510,20515,529,(202) 225-6131,20161108,"November  8, 2016",,
CA30,"Sherman, Brad",S000344,Sherman,Brad,,"SHERMAN,BRAD",,Mr.,114,Brad Sherman,Mr. Sherman,D,D,California,CA,30th,Sherman Oaks,RHOB,2181,20515,530,(202) 225-5911,20161108,"November  8, 2016",,
CA31,"Aguilar, Pete",A000371,Aguilar,Pete,,"AGUILAR,PETE",,Mr.,114,Pete Aguilar,Mr. Aguilar,D,D,California,CA,31st,Redlands,LHOB,1223,20515,531,(202) 225-3201,20161108,"November  8, 2016",,
CA32,"Napolitano, Grace",N000179,Napolitano,Grace,F.,"NAPOLITANO,GRACE",,Mrs.,114,Grace F. Napolitano,Mrs. Napolitano,D,D,California,CA,32nd,Norwalk,LHOB,1610,20515,532,(202) 225-5256,20161108,"November  8, 2016",,
CA33,"Lieu, Ted",L000582,Lieu,Ted,,"LIEU,TED",,Mr.,114,Ted Lieu,Mr. Ted Lieu of California,D,D,California,CA,33rd,Torrance,CHOB,236,20515,533,(202) 225-3976,20161108,"November  8, 2016",,
CA34,"Becerra, Xavier",B000287,Becerra,Xavier,,"BECERRA,XAVIER",,Mr.,114,Xavier Becerra,Mr. Becerra,D,D,California,CA,34th,Los Angeles,LHOB,1226,20515,534,(202) 225-6235,20161108,"November  8, 2016",,
CA35,"Torres, Norma",T000474,Torres,Norma,J.,"TORRES,NORMA",,Mrs.,114,Norma J. Torres,Mrs. Torres,D,D,California,CA,35th,Pomona,LHOB,1713,20515,535,(202) 225-6161,20161108,"November  8, 2016",,
CA36,"Ruiz, Raul",R000599,Ruiz,Raul,,"RUIZ,RAUL",,Mr.,114,Raul Ruiz,Mr. Ruiz,D,D,California,CA,36th,Coachella,LHOB,1319,20515,536,(202) 225-5330,20161108,"November  8, 2016",,
CA37,"Bass, Karen",B001270,Bass,Karen,,"BASS,KAREN",,Ms.,114,Karen Bass,Ms. Bass,D,D,California,CA,37th,Los Angeles,RHOB,2241,20515,537,(202) 225-7084,20161108,"November  8, 2016",,
CA38,"SÃ¡nchez, Linda",S001156,SÃ¡nchez,Linda,T.,"SANCHEZ,LINDA",,Ms.,114,Linda T. SÃ¡nchez,Ms. SÃ¡nchez,D,D,California,CA,38th,Whittier,RHOB,2329,20515,538,(202) 225-6676,20161108,"November  8, 2016",,
CA39,"Royce, Edward",R000487,Royce,Edward,R.,"ROYCE,EDWARD",,Mr.,114,Edward R. Royce,Mr. Royce of California,R,R,California,CA,39th,Fullerton,RHOB,2310,20515,539,(202) 225-4111,20161108,"November  8, 2016",,
CA40,"Roybal-Allard, Lucille",R000486,Roybal-Allard,Lucille,,"ROYBALALLARD,LUCILLE",,Ms.,114,Lucille Roybal-Allard,Ms. Roybal-Allard,D,D,California,CA,40th,Los Angeles,RHOB,2083,20515,540,(202) 225-1766,20161108,"November  8, 2016",,
CA41,"Takano, Mark",T000472,Takano,Mark,,"TAKANO,MARK",,Mr.,114,Mark Takano,Mr. Takano,D,D,California,CA,41st,Riverside,LHOB,1507,20515,541,(202) 225-2305,20161108,"November  8, 2016",,
CA42,"Calvert, Ken",C000059,Calvert,Ken,,"CALVERT,KEN",,Mr.,114,Ken Calvert,Mr. Calvert,R,R,California,CA,42nd,Corona,RHOB,2205,20515,542,(202) 225-1986,20161108,"November  8, 2016",,
CA43,"Waters, Maxine",W000187,Waters,Maxine,,"WATERS,MAXINE",,Ms.,114,Maxine Waters,Ms. Maxine Waters of California,D,D,California,CA,43rd,Los Angeles,RHOB,2221,20515,543,(202) 225-2201,20161108,"November  8, 2016",,
CA44,"BarragÃ¡n, Nanette",B001300,BarragÃ¡n,Nanette,Diaz,"BARRAGAN,NANETTE",,Ms.,0,Nanette Diaz BarragÃ¡n,Ms. BarragÃ¡n,D,D,California,CA,44th,San Pedro,LHOB,1320,20515,544,(202) 225-8220,20161108,"November  8, 2016",,
CA45,"Walters, Mimi",W000820,Walters,Mimi,,"WALTERS,MIMI",,Mrs.,114,Mimi Walters,Mrs. Mimi Walters of California,R,R,California,CA,45th,Irvine,CHOB,215,20515,545,(202) 225-5611,20161108,"November  8, 2016",,
CA46,"Correa, J.",C001110,Correa,J.,Luis,"CORREA,J.",,Mr.,0,J. Luis Correa,Mr. Correa,D,D,California,CA,46th,Santa Ana,LHOB,1039,20515,546,(202) 225-2965,20161108,"November  8, 2016",,
CA47,"Lowenthal, Alan",L000579,Lowenthal,Alan,S.,"LOWENTHAL,ALAN",,Mr.,114,Alan S. Lowenthal,Mr. Lowenthal,D,D,California,CA,47th,Long Beach,CHOB,125,20515,547,(202) 225-7924,20161108,"November  8, 2016",,
CA48,"Rohrabacher, Dana",R000409,Rohrabacher,Dana,,"ROHRABACHER,DANA",,Mr.,114,Dana Rohrabacher,Mr. Rohrabacher,R,R,California,CA,48th,Costa Mesa,RHOB,2300,20515,548,(202) 225-2415,20161108,"November  8, 2016",,
CA49,"Issa, Darrell",I000056,Issa,Darrell,E.,"ISSA,DARRELL",,Mr.,114,Darrell E. Issa,Mr. Issa,R,R,California,CA,49th,Vista,RHOB,2269,20515,549,(202) 225-3906,20161108,"November  8, 2016",,
CA50,"Hunter, Duncan",H001048,Hunter,Duncan,,"HUNTER,DUNCAN",,Mr.,114,Duncan Hunter,Mr. Hunter,R,R,California,CA,50th,Alpine,RHOB,2429,20515,550,(202) 225-5672,20161108,"November  8, 2016",,
CA51,"Vargas, Juan",V000130,Vargas,Juan,,"VARGAS,JUAN",,Mr.,114,Juan Vargas,Mr. Vargas,D,D,California,CA,51st,San Diego,LHOB,1605,20515,551,(202) 225-8045,20161108,"November  8, 2016",,
CA52,"Peters, Scott",P000608,Peters,Scott,H.,"PETERS,SCOTT",,Mr.,114,Scott H. Peters,Mr. Peters,D,D,California,CA,52nd,San Diego,LHOB,1122,20515,552,(202) 225-0508,20161108,"November  8, 2016",,
CA53,"Davis, Susan",D000598,Davis,Susan,A.,"DAVIS,SUSAN",,Mrs.,114,Susan A. Davis,Mrs. Davis of California,D,D,California,CA,53rd,San Diego,LHOB,1214,20515,553,(202) 225-2040,20161108,"November  8, 2016",,
CO01,"DeGette, Diana",D000197,DeGette,Diana,,"DEGETTE,DIANA",,Ms.,114,Diana DeGette,Ms. DeGette,D,D,Colorado,CO,1st,Denver,RHOB,2111,20515,601,(202) 225-4431,20161108,"November  8, 2016",,
CO02,"Polis, Jared",P000598,Polis,Jared,,"POLIS,JARED",,Mr.,114,Jared Polis,Mr. Polis,D,D,Colorado,CO,2nd,Boulder,LHOB,1727,20515,602,(202) 225-2161,20161108,"November  8, 2016",,
CO03,"Tipton, Scott",T000470,Tipton,Scott,R.,"TIPTON,SCOTT",,Mr.,114,Scott R. Tipton,Mr. Tipton,R,R,Colorado,CO,3rd,Cortez,CHOB,218,20515,603,(202) 225-4761,20161108,"November  8, 2016",,
CO04,"Buck, Ken",B001297,Buck,Ken,,"BUCK,KEN",,Mr.,114,Ken Buck,Mr. Buck,R,R,Colorado,CO,4th,Windsor,LHOB,1130,20515,604,(202) 225-4676,20161108,"November  8, 2016",,
CO05,"Lamborn, Doug",L000564,Lamborn,Doug,,"LAMBORN,DOUG",,Mr.,114,Doug Lamborn,Mr. Lamborn,R,R,Colorado,CO,5th,Colorado Springs,RHOB,2402,20515,605,(202) 225-4422,20161108,"November  8, 2016",,
CO06,"Coffman, Mike",C001077,Coffman,Mike,,"COFFMAN,MIKE",,Mr.,114,Mike Coffman,Mr. Coffman,R,R,Colorado,CO,6th,Aurora,RHOB,2443,20515,606,(202) 225-7882,20161108,"November  8, 2016",,
CO07,"Perlmutter, Ed",P000593,Perlmutter,Ed,,"PERLMUTTER,ED",,Mr.,114,Ed Perlmutter,Mr. Perlmutter,D,D,Colorado,CO,7th,Golden,LHOB,1410,20515,607,(202) 225-2645,20161108,"November  8, 2016",,
CT01,"Larson, John",L000557,Larson,John,B.,"LARSON,JOHN",,Mr.,114,John B. Larson,Mr. Larson of Connecticut,D,D,Connecticut,CT,1st,East Hartford,LHOB,1501,20515,701,(202) 225-2265,20161108,"November  8, 2016",,
CT02,"Courtney, Joe",C001069,Courtney,Joe,,"COURTNEY,JOE",,Mr.,114,Joe Courtney,Mr. Courtney,D,D,Connecticut,CT,2nd,Vernon,RHOB,2348,20515,702,(202) 225-2076,20161108,"November  8, 2016",,
CT03,"DeLauro, Rosa",D000216,DeLauro,Rosa,L.,"DELAURO,ROSA",,Ms.,114,Rosa L. DeLauro,Ms. DeLauro,D,D,Connecticut,CT,3rd,New Haven,RHOB,2413,20515,703,(202) 225-3661,20161108,"November  8, 2016",,
CT04,"Himes, James",H001047,Himes,James,A.,"HIMES,JAMES",,Mr.,114,James A. Himes,Mr. Himes,D,D,Connecticut,CT,4th,Cos Cob,LHOB,1227,20515,704,(202) 225-5541,20161108,"November  8, 2016",,
CT05,"Esty, Elizabeth",E000293,Esty,Elizabeth,H.,"ESTY,ELIZABETH",,Ms.,114,Elizabeth H. Esty,Ms. Esty,D,D,Connecticut,CT,5th,Cheshire,CHOB,221,20515,705,(202) 225-4476,20161108,"November  8, 2016",,
DC00,"Norton, Eleanor",N000147,Norton,Eleanor,Holmes,"NORTON,ELEANOR",,Ms.,114,Eleanor Holmes Norton,Ms. Norton,D,D,District of Columbia,DC,Delegate,District of Columbia,RHOB,2136,20515,5101,(202) 225-8050,20161108,"November  8, 2016",,
DE00,"Blunt Rochester, Lisa",B001303,Blunt Rochester,Lisa,,"BLUNTROCHESTER,LISA",,Ms.,0,Lisa Blunt Rochester,Ms. Blunt Rochester,D,D,Delaware,DE,At Large,Wilmington,LHOB,1123,20515,800,(202) 225-4165,20161108,"November  8, 2016",,
FL01,"Gaetz, Matt",G000578,Gaetz,Matt,,"GAETZ,MATT",,Mr.,0,Matt Gaetz,Mr. Gaetz,R,R,Florida,FL,1st,Fort Walton Beach,CHOB,507,20515,901,(202) 225-4136,20161108,"November  8, 2016",,
FL02,"Dunn, Neal",D000628,Dunn,Neal,P.,"DUNN,NEAL",,Mr.,0,Neal P. Dunn,Mr. Dunn,R,R,Florida,FL,2nd,Panama City,CHOB,423,20515,902,(202) 225-5235,20161108,"November  8, 2016",,
FL03,"Yoho, Ted",Y000065,Yoho,Ted,S.,"YOHO,TED",,Mr.,114,Ted S. Yoho,Mr. Yoho,R,R,Florida,FL,3rd,Gainesville,CHOB,511,20515,903,(202) 225-5744,20161108,"November  8, 2016",,
FL04,"Rutherford, John",R000609,Rutherford,John,H.,"RUTHERFORD,JOHN",,Mr.,0,John H. Rutherford,Mr. Rutherford,R,R,Florida,FL,4th,Jacksonville,CHOB,230,20515,904,(202) 225-2501,20161108,"November  8, 2016",,
FL05,"Lawson, Al",L000586,Lawson,Al,,"LAWSON,AL",Jr.,Mr.,0,"Al Lawson, Jr.",Mr. Lawson of Florida,D,D,Florida,FL,5th,Tallahassee,LHOB,1337,20515,905,(202) 225-0123,20161108,"November  8, 2016",,
FL06,"DeSantis, Ron",D000621,DeSantis,Ron,,"DESANTIS,RON",,Mr.,114,Ron DeSantis,Mr. DeSantis,R,R,Florida,FL,6th,Palm Coast,LHOB,1524,20515,906,(202) 225-2706,20161108,"November  8, 2016",,
FL07,"Murphy, Stephanie",M001202,Murphy,Stephanie,N.,"MURPHY,STEPHANIE",,Mrs.,0,Stephanie N. Murphy,Mrs. Murphy of Florida,D,D,Florida,FL,7th,Winter Park,LHOB,1237,20515,907,(202) 225-4035,20161108,"November  8, 2016",,
FL08,"Posey, Bill",P000599,Posey,Bill,,"POSEY,BILL",,Mr.,114,Bill Posey,Mr. Posey,R,R,Florida,FL,8th,Rockledge,RHOB,2150,20515,908,(202) 225-3671,20161108,"November  8, 2016",,
FL09,"Soto, Darren",S001200,Soto,Darren,,"SOTO,DARREN",,Mr.,0,Darren Soto,Mr. Soto,D,D,Florida,FL,9th,Kissimmee,LHOB,1429,20515,909,(202) 225-9889,20161108,"November  8, 2016",,
FL10,"Demings, Val",D000627,Demings,Val,Butler,"DEMINGS,VAL",,Mrs.,0,Val Butler Demings,Mrs. Demings,D,D,Florida,FL,10th,Orlando,CHOB,238,20515,910,(202) 225-2176,20161108,"November  8, 2016",,
FL11,"Webster, Daniel",W000806,Webster,Daniel,,"WEBSTER,DANIEL",,Mr.,114,Daniel Webster,Mr. Webster of Florida,R,R,Florida,FL,11th,Clermont,LHOB,1210,20515,911,(202) 225-1002,20161108,"November  8, 2016",,
FL12,"Bilirakis, Gus",B001257,Bilirakis,Gus,M.,"BILIRAKIS,GUS",,Mr.,114,Gus M. Bilirakis,Mr. Bilirakis,R,R,Florida,FL,12th,Palm Harbor,RHOB,2112,20515,912,(202) 225-5755,20161108,"November  8, 2016",,
FL13,"Crist, Charlie",C001111,Crist,Charlie,,"CRIST,CHARLIE",,Mr.,0,Charlie Crist,Mr. Crist,D,D,Florida,FL,13th,St. Petersburg,CHOB,427,20515,913,(202) 225-5961,20161108,"November  8, 2016",,
FL14,"Castor, Kathy",C001066,Castor,Kathy,,"CASTOR,KATHY",,Ms.,114,Kathy Castor,Ms. Castor of Florida,D,D,Florida,FL,14th,Tampa,RHOB,2052,20515,914,(202) 225-3376,20161108,"November  8, 2016",,
FL15,"Ross, Dennis",R000593,Ross,Dennis,A.,"ROSS,DENNIS",,Mr.,114,Dennis A. Ross,Mr. Ross,R,R,Florida,FL,15th,Lakeland,CHOB,436,20515,915,(202) 225-1252,20161108,"November  8, 2016",,
FL16,"Buchanan, Vern",B001260,Buchanan,Vern,,"BUCHANAN,VERN",,Mr.,114,Vern Buchanan,Mr. Buchanan,R,R,Florida,FL,16th,Sarasota,RHOB,2104,20515,916,(202) 225-5015,20161108,"November  8, 2016",,
FL17,"Rooney, Thomas",R000583,Rooney,Thomas,J.,"ROONEY,THOMAS",,Mr.,114,Thomas J. Rooney,Mr. Thomas J. Rooney of Florida,R,R,Florida,FL,17th,Okeechobee,RHOB,2160,20515,917,(202) 225-5792,20161108,"November  8, 2016",,
